"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1159","test_first_team_has_name","tests.api","2026-07-17","passed","2026-07-17","","test_football","",""
"","549","test_unknown_competition","tests.api","2026-07-17","passed","2026-07-17","","test_football","",""
"","192","test_user_not_found","tests.api","2026-07-17","passed","2026-07-17","","test_github","",""
"","98","test_create_order","tests.api","2026-07-17","passed","2026-07-17","","test_create","",""
"","1025","test_teams_status_code","tests.api","2026-07-17","passed","2026-07-17","","test_football","",""
"","573","test_world_cup_exists","tests.api","2026-07-17","passed","2026-07-17","","test_football","",""
"","650","test_match_has_status","tests.api","2026-07-17","passed","2026-07-17","","test_football","",""
"","1938","test_successful_login","tests.ui","2026-07-17","passed","2026-07-17","","test_login","",""
"","1172","test_teams_count","tests.api","2026-07-17","passed","2026-07-17","","test_football","",""
"","551","test_teams_no_token","tests.api","2026-07-17","passed","2026-07-17","","test_football","",""
"","208","test_status_code","tests.api","2026-07-17","passed","2026-07-17","","test_github","",""
"","236","test_create_user","tests.api","2026-07-17","passed","2026-07-17","","test_create","",""
"","501","test_wrong_password","tests.ui","2026-07-17","passed","2026-07-17","","test_login","",""
"","556","test_world_cup_name","tests.api","2026-07-17","passed","2026-07-17","","test_football","",""
"","81","test_login","tests.api","2026-07-17","passed","2026-07-17","","test_github","",""
"","229","test_login_button_visible","tests.ui","2026-07-17","passed","2026-07-17","","test_login","",""
